total new date
46858 1888 2015-04-02
47118 260 2015-04-03
47265 407 2015-04-04
47568 303 2015-04-04
47656 88 2015-04-04
47809 153 2015-04-05
47926 117 2015-04-05
48055 129 2015-04-05
48232 177 2015-04-05
48313 81 2015-04-05
48612 299 2015-04-06
48641 29 2015-04-06
48828 187 2015-04-07
48907 76 2015-04-07
48919 12 2015-04-08
49017 98 2015-04-08
49181 164 2015-04-08
48266 -915 2015-04-09
48335 69 2015-04-11
48379 44 2015-04-11
48478 99 2015-04-11
48488 10 2015-04-11
49290 802 2015-04-11
49460 170 2015-04-11
49522 62 2015-04-11
49399 -122 2015-04-12
49446 47 2015-04-12
49421 -25 2015-04-12
49476 55 2015-04-13
49566 90 2015-04-13
49601 35 2015-04-13
49714 113 2015-04-13
49751 37 2015-04-13
50115 364 2015-04-14
50342 227 2015-04-14
50451 109 2015-04-14
50489 38 2015-04-14
50599 110 2015-04-15
50797 198 2015-04-15
51204 407 2015-04-15
51431 227 2015-04-16
51492 61 2015-04-16
51554 62 2015-04-19
51775 221 2015-04-20
51926 151 2015-04-20
52132 206 2015-04-20
52293 161 2015-04-20
52289 -4 2015-04-21
52367 78 2015-04-21
52489 122 2015-04-21
52683 194 2015-04-21
52778 95 2015-04-21
53057 279 2015-04-21
53230 173 2015-04-21
53542 312 2015-04-21
53591 49 2015-04-24
53747 156 2015-04-24
53992 245 2015-04-24
54049 57 2015-04-25
53500 -549 2015-04-25
53572 72 2015-04-25
54311 739 2015-04-26
54315 4 2015-04-26
54401 86 2015-04-26
54733 332 2015-04-26
55533 800 2015-04-27
55549 16 2015-04-27
55657 108 2015-04-27
55957 300 2015-04-27
56555 598 2015-04-28
56567 12 2015-04-28
56690 123 2015-04-29
56785 95 2015-04-29
57151 366 2015-04-29
57274 123 2015-04-29
57484 210 2015-05-01
57446 -38 2015-05-01
57607 161 2015-05-01
59187 1580 2015-05-02
55828 -3359 2015-05-03
55967 139 2015-05-03
56468 501 2015-05-04
56887 419 2015-05-04
57429 542 2015-05-04
58323 894 2015-05-05
58403 80 2015-05-06
58553 150 2015-05-07
58629 76 2015-05-09
58625 -4 2015-05-09
58771 146 2015-05-09
58777 6 2015-05-09
58776 -1 2015-05-09
61411 2635 2015-05-10
61326 -85 2015-05-10
64455 3129 2015-05-12
64476 21 2015-05-14
64880 404 2015-05-25
64912 32 2015-05-27
65904 992 2015-05-28
65661 -243 2015-05-28
65777 116 2015-05-30
65915 138 2015-05-30
66000 85 2015-05-31
65171 -829 2015-05-31
65495 324 2015-05-31
65747 252 2015-06-01
65767 20 2015-06-01
65609 -158 2015-06-01
66267 658 2015-06-02
66274 7 2015-06-02
66376 102 2015-06-02
66596 220 2015-06-03
66777 181 2015-06-03
66731 -46 2015-06-03
66789 58 2015-06-04
66601 -188 2015-06-04
66802 201 2015-06-04
67014 212 2015-06-04
67140 126 2015-06-06
67224 84 2015-06-06
67439 215 2015-06-06
67514 75 2015-06-06
67840 326 2015-06-07
68039 199 2015-06-07
68608 569 2015-06-16
68712 104 2015-06-17
67135 -1577 2015-06-18
67332 197 2015-06-19
67415 83 2015-06-21
67274 -141 2015-06-21
67286 12 2015-06-22
67246 -40 2015-06-22
67525 279 2015-06-24
